date,work_time,study_time,sleep_time,chess_tasks,code_tasks,party,mc_donalds,gym,energy_drinks,bad_habits,overall_score
2023-01-13,0.0,0.0,7.0,False,False,False,-1,False,-1,-1,0,Friday
2023-01-14,3.0,4.0,7.0,True,True,False,-1,True,-1,-1,2,Saturday
2023-01-15,4.0,4.0,4.0,True,False,True,0,True,1,0,0,Sunday
2023-01-16,6.0,4.0,7.0,True,False,False,1,True,2,2,5,Monday
2023-01-17,0.0,4.0,8.0,True,True,False,0,True,2,1,2,Tuesday
2023-01-18,0.0,1.0,6.0,True,False,True,0,False,1,2,2,Wednesday
2023-01-19,6.0,2.0,8.0,True,False,False,0,True,0,2,4,Thursday
2023-01-19,2.0,4.0,3.0,False,False,False,-1,False,-1,-1,0,Thursday
2023-01-19,2.0,4.0,3.0,False,True,False,-1,True,-1,-1,0,
2023-01-20,0.0,4.0,5.5,True,False,False,0,False,1,1,2,Friday
2023-01-21,0.0,0.0,0.0,False,False,False,-1,False,-1,-1,0,Saturday
